behavior_id,user_id,course_id,behavior_type,event_time,duration
B00000031,U000834,C00092,favorite,2026-08-28 01:26:48,2329
B00000032,U000066,C00080,start_learning,2026-08-23 06:27:48,2674
B00000033,U000299,C00018,favorite,2026-08-14 18:21:48,197
B00000034,U000288,C00016,finish,2026-08-20 10:11:48,1211
B00000035,U000729,C00072,start_learning,2026-08-05 02:05:48,1318
B00000036,U000873,C00056,favorite,2026-08-03 22:57:48,2789
B00000037,U000019,C00059,favorite,2026-08-16 08:44:48,1304
B00000038,U000136,C00097,favorite,2026-08-31 19:50:48,81
B00000039,U000435,C00089,favorite,2026-08-08 22:09:48,3292
B00000040,U000622,C00055,finish,2026-08-28 06:17:48,411
B00000041,U000233,C00052,start_learning,2026-08-05 21:13:48,2535
B00000042,U000302,C00003,view,2026-08-08 11:57:48,1880
B00000043,U000968,C00040,buy,2026-08-19 03:55:48,836
B00000044,U000919,C00050,finish,2026-08-21 23:26:48,440
B00000045,U000909,C00068,favorite,2026-08-20 23:53:48,1258
B00000046,U000683,C00069,finish,2026-08-19 20:06:48,1950
B00000047,U000172,C00006,start_learning,2026-09-01 13:32:48,192
B00000048,U000286,C00010,finish,2026-08-14 20:40:48,2562
B00000049,U000750,C00012,buy,2026-08-12 03:32:48,692
B00000050,U000365,C00059,finish,2026-08-07 12:05:48,1536
B00000051,U000068,C00011,favorite,2026-08-09 18:25:48,2762
B00000052,U000580,C00061,buy,2026-08-25 00:57:48,3460
B00000053,U000483,C00045,start_learning,2026-08-24 14:53:48,2219
B00000054,U000533,C00008,start_learning,2026-08-12 21:17:48,1813
B00000055,U000860,C00069,buy,2026-08-19 05:46:48,1631
B00000056,U000653,C00050,finish,2026-08-08 06:28:48,3156
B00000057,U000245,C00089,finish,2026-08-11 22:59:48,505
B00000058,U000365,C00099,favorite,2026-08-25 15:48:48,2738
B00000059,U000017,C00057,favorite,2026-08-18 11:05:48,2883
B00000060,U000605,C00082,finish,2026-08-31 15:01:48,1788
B00000061,U000567,C00048,view,2026-09-01 13:33:48,2618
B00000062,U000246,C00076,buy,2026-08-26 06:12:48,2940
B00000063,U000289,C00040,favorite,2026-08-19 00:49:48,922
B00000064,U000307,C00086,start_learning,2026-08-12 10:08:48,119
B00000065,U000004,C00003,start_learning,2026-08-06 02:07:48,3000
B00000066,U000505,C00002,favorite,2026-08-25 17:16:48,2809
B00000067,U000335,C00026,finish,2026-08-18 09:57:48,1467
B00000068,U000623,C00007,favorite,2026-08-22 11:04:48,2264
B00000069,U000417,C00016,buy,2026-08-30 12:04:48,3375
B00000070,U000208,C00089,favorite,2026-08-25 02:46:48,3540
B00000071,U000091,C00061,favorite,2026-08-07 17:47:48,3307
B00000072,U000272,C00063,view,2026-08-03 10:26:48,2740
B00000073,U000036,C00050,finish,2026-08-15 06:04:48,3
B00000074,U000501,C00051,favorite,2026-08-15 21:24:48,2355
B00000075,U000322,C00037,start_learning,2026-08-08 12:31:48,1238
B00000076,U000578,C00089,favorite,2026-08-09 18:16:48,1203
B00000077,U000593,C00013,finish,2026-08-18 04:58:48,1168
B00000078,U000186,C00058,start_learning,2026-08-19 01:56:48,3017
B00000079,U000388,C00045,buy,2026-08-14 18:14:48,796
B00000080,U000378,C00021,view,2026-08-10 05:49:48,710
B00000081,U000475,C00037,favorite,2026-08-25 17:34:48,2810
B00000082,U000018,C00017,view,2026-08-07 09:47:48,2831
B00000083,U000734,C00007,finish,2026-08-11 07:23:48,2214
B00000084,U000130,C00057,view,2026-08-26 15:19:48,288
B00000085,U000442,C00063,buy,2026-08-29 11:22:48,725
B00000086,U000300,C00053,favorite,2026-08-21 19:03:48,1378
B00000087,U000204,C00081,favorite,2026-08-15 01:54:48,2628
B00000088,U000577,C00017,favorite,2026-08-07 01:39:48,1642
B00000089,U000809,C00046,favorite,2026-08-03 15:28:48,183
B00000090,U000376,C00004,start_learning,2026-08-05 13:48:48,2750
B00000091,U000954,C00058,buy,2026-08-19 08:31:48,2749
B00000092,U000012,C00090,start_learning,2026-08-15 21:49:48,2763
B00000093,U000191,C00033,finish,2026-08-12 15:09:48,1888
B00000094,U000884,C00013,finish,2026-08-08 21:35:48,405
B00000095,U000240,C00073,finish,2026-08-13 14:29:48,1754
B00000096,U000496,C00059,favorite,2026-08-09 19:56:48,230
B00000097,U000862,C00074,view,2026-08-05 18:43:48,2439
B00000098,U000991,C00094,buy,2026-08-29 05:18:48,1103
B00000099,U000827,C00032,favorite,2026-08-03 15:17:48,1330
B00000100,U000557,C00100,favorite,2026-08-05 14:44:48,1261
B00000101,U000600,C00024,buy,2026-08-02 23:49:48,2096
B00000102,U000858,C00080,buy,2026-08-29 23:26:48,2346
B00000103,U000001,C00044,favorite,2026-08-13 01:12:48,327
B00000104,U000409,C00072,start_learning,2026-08-30 09:41:48,978
B00000105,U000134,C00054,buy,2026-08-18 18:44:48,2070
B00000106,U000429,C00066,buy,2026-08-24 11:48:48,3459
B00000107,U000891,C00009,buy,2026-08-08 20:11:48,144
B00000108,U000825,C00064,finish,2026-08-29 17:41:48,3349
B00000109,U000270,C00055,start_learning,2026-08-31 00:21:48,410
B00000110,U000252,C00096,buy,2026-08-24 00:18:48,435
B00000111,U000712,C00049,favorite,2026-08-06 04:27:48,1169
B00000112,U000597,C00066,buy,2026-08-27 10:24:48,1696
B00000113,U000566,C00081,buy,2026-08-16 16:21:48,2697
B00000114,U000939,C00049,start_learning,2026-08-09 07:56:48,2296
B00000115,U000530,C00059,view,2026-08-24 07:38:48,1711
B00000116,U000621,C00097,start_learning,2026-08-11 17:06:48,1819
B00000117,U000154,C00023,finish,2026-08-21 22:38:48,2222
B00000118,U000281,C00079,view,2026-08-21 04:21:48,166
B00000119,U000471,C00086,finish,2026-08-30 12:57:48,1918
B00000120,U000400,C00059,finish,2026-08-24 14:23:48,2989
B00000121,U000712,C00025,start_learning,2026-08-21 08:38:48,2435
B00000122,U000026,C00095,view,2026-08-04 17:01:48,1321
B00000123,U000866,C00027,buy,2026-08-22 20:13:48,1347
B00000124,U000314,C00007,finish,2026-08-05 12:30:48,431
B00000125,U000569,C00068,view,2026-08-18 06:52:48,1029
B00000126,U000072,C00075,favorite,2026-08-30 15:10:48,2798
B00000127,U000610,C00021,favorite,2026-08-15 06:08:48,1994
B00000128,U000945,C00062,buy,2026-08-27 00:38:48,2557
B00000129,U000569,C00069,buy,2026-08-26 06:02:48,3593
B00000130,U000047,C00079,buy,2026-08-21 07:04:48,998
B00000131,U000588,C00098,favorite,2026-08-26 22:41:48,919
B00000132,U000596,C00044,favorite,2026-08-17 01:54:48,1578
B00000133,U000955,C00028,finish,2026-08-17 10:17:48,1468
B00000134,U000235,C00035,start_learning,2026-08-07 14:47:48,1086
B00000135,U000757,C00059,favorite,2026-08-08 17:29:48,2501
B00000136,U000123,C00099,start_learning,2026-08-03 12:16:48,1049
B00000137,U000271,C00007,finish,2026-08-08 01:14:48,3043
B00000138,U000860,C00048,favorite,2026-08-03 13:58:48,422
B00000139,U000023,C00027,finish,2026-08-06 19:27:48,2797
B00000140,U000037,C00083,favorite,2026-08-18 17:18:48,2964
B00000141,U000294,C00048,view,2026-08-08 17:45:48,999
B00000142,U000413,C00036,finish,2026-08-04 10:32:48,2626
B00000143,U000671,C00079,start_learning,2026-08-29 20:24:48,1892
B00000144,U000974,C00056,start_learning,2026-08-21 23:35:48,1489
B00000145,U000635,C00003,view,2026-08-10 10:53:48,1587
B00000146,U000875,C00005,finish,2026-08-23 14:11:48,2705
B00000147,U000046,C00058,finish,2026-08-08 14:40:48,2875
B00000148,U000376,C00080,finish,2026-08-06 08:33:48,991
B00000149,U000548,C00055,favorite,2026-08-20 12:53:48,2103
B00000150,U000311,C00030,start_learning,2026-08-16 03:50:48,3452
B00000151,U000744,C00021,start_learning,2026-08-21 12:16:48,753
B00000152,U000308,C00079,favorite,2026-08-04 10:01:48,2500
B00000153,U000323,C00076,buy,2026-08-29 06:37:48,1403
B00000154,U000238,C00016,favorite,2026-08-21 03:48:48,1382
B00000155,U000239,C00006,start_learning,2026-08-22 13:03:48,3266
B00000156,U000280,C00024,favorite,2026-08-15 21:06:48,1765
B00000157,U000672,C00063,buy,2026-08-10 11:54:48,485
B00000158,U000273,C00007,favorite,2026-08-10 02:42:48,2769
B00000159,U000429,C00027,favorite,2026-08-13 13:34:48,2049
B00000160,U000885,C00075,buy,2026-08-20 07:11:48,1541
B00000161,U000380,C00003,view,2026-08-23 16:37:48,2141
B00000162,U000706,C00069,view,2026-08-05 02:01:48,979
B00000163,U000406,C00009,view,2026-08-28 18:34:48,334
B00000164,U000669,C00019,start_learning,2026-08-21 23:55:48,3351
B00000165,U000473,C00023,favorite,2026-08-12 18:58:48,2460
B00000166,U000613,C00003,finish,2026-08-10 17:02:48,3175
B00000167,U000490,C00069,start_learning,2026-08-16 13:08:48,940
B00000168,U000976,C00069,favorite,2026-08-26 14:13:48,2499
B00000169,U000262,C00050,finish,2026-08-17 18:17:48,457
B00000170,U000271,C00087,start_learning,2026-08-23 02:10:48,3557
B00000171,U000385,C00081,view,2026-08-22 16:25:48,2678
B00000172,U000059,C00062,start_learning,2026-08-03 03:31:48,663
B00000173,U000477,C00006,start_learning,2026-08-12 01:50:48,759
B00000174,U000547,C00065,buy,2026-08-21 12:16:48,566
B00000175,U000874,C00098,buy,2026-08-16 21:31:48,1021
B00000176,U000002,C00076,view,2026-08-28 22:49:48,1081
B00000177,U000204,C00048,buy,2026-08-17 09:06:48,1937
B00000178,U000007,C00097,finish,2026-08-17 15:42:48,549
B00000179,U000865,C00042,view,2026-08-17 04:35:48,2122
B00000180,U000310,C00047,finish,2026-08-20 09:59:48,2020
B00000181,U000874,C00009,finish,2026-08-25 12:40:48,2817
B00000182,U000540,C00050,buy,2026-08-18 20:22:48,238
B00000183,U000766,C00027,favorite,2026-08-31 01:03:48,1962
B00000184,U000706,C00037,favorite,2026-08-19 12:29:48,2167
B00000185,U000346,C00025,view,2026-08-03 05:06:48,2637
B00000186,U000115,C00034,favorite,2026-08-17 08:48:48,2226
B00000187,U000876,C00093,favorite,2026-08-20 23:09:48,2390
B00000188,U000614,C00038,finish,2026-08-18 12:59:48,1235
B00000189,U000760,C00060,finish,2026-08-19 12:20:48,839
B00000190,U000072,C00005,view,2026-08-09 13:29:48,362
B00000191,U000019,C00093,buy,2026-08-03 15:00:48,135
B00000192,U000393,C00009,buy,2026-08-12 01:29:48,823
B00000193,U000954,C00064,favorite,2026-08-20 17:03:48,769
B00000194,U000949,C00063,favorite,2026-08-18 23:05:48,1554
B00000195,U000467,C00053,finish,2026-08-21 17:36:48,2025
B00000196,U000517,C00031,view,2026-08-04 09:58:48,1943
B00000197,U000741,C00068,start_learning,2026-08-15 08:26:48,453
B00000198,U000149,C00051,favorite,2026-08-13 01:59:48,1099
B00000199,U000487,C00085,start_learning,2026-08-09 14:51:48,259
B00000200,U000577,C00093,view,2026-08-20 08:03:48,643
B00000201,U000592,C00042,view,2026-08-05 05:49:48,544
B00000202,U000560,C00061,finish,2026-08-31 18:40:48,1176
B00000203,U000791,C00097,finish,2026-08-31 01:18:48,1536
B00000204,U000241,C00074,view,2026-08-28 05:00:48,1770
B00000205,U000881,C00043,favorite,2026-08-19 09:56:48,187
B00000206,U000446,C00019,favorite,2026-08-11 18:26:48,1240
B00000207,U000280,C00028,finish,2026-08-23 16:25:48,1546
B00000208,U000726,C00066,favorite,2026-08-17 13:24:48,194
B00000209,U000090,C00048,view,2026-08-31 06:26:48,435
B00000210,U000107,C00042,favorite,2026-08-27 10:12:48,942
B00000211,U000627,C00056,start_learning,2026-08-23 09:08:48,410
B00000212,U000292,C00026,start_learning,2026-08-07 04:20:48,2709
B00000213,U000454,C00061,start_learning,2026-08-30 03:30:48,2300
B00000214,U000068,C00086,view,2026-08-26 14:32:48,1967
B00000215,U000119,C00056,buy,2026-08-15 23:04:48,3343
B00000216,U000385,C00011,start_learning,2026-08-27 20:45:48,1184
B00000217,U000153,C00056,buy,2026-08-04 22:55:48,303
B00000218,U000565,C00038,favorite,2026-08-09 16:50:48,2636
B00000219,U000933,C00013,finish,2026-08-16 20:07:48,266
B00000220,U000671,C00044,buy,2026-08-26 06:15:48,903
B00000221,U000575,C00001,view,2026-08-18 19:15:48,1617
B00000222,U000316,C00098,start_learning,2026-08-31 08:54:48,782
B00000223,U000652,C00097,view,2026-08-31 20:25:48,2650
B00000224,U000782,C00082,favorite,2026-08-12 01:26:48,3512
B00000225,U000656,C00025,buy,2026-08-13 02:55:48,409
B00000226,U000849,C00081,start_learning,2026-08-12 07:50:48,1173
B00000227,U000820,C00020,view,2026-08-31 14:55:48,93
B00000228,U000797,C00036,favorite,2026-08-25 08:38:48,2229
B00000229,U000148,C00073,buy,2026-08-17 04:59:48,1774
B00000230,U000436,C00052,buy,2026-08-19 11:52:48,780
B00000231,U000310,C00040,finish,2026-08-09 13:14:48,2537
B00000232,U000202,C00030,view,2026-08-14 10:05:48,1382
B00000233,U000154,C00087,view,2026-08-26 14:27:48,1304
B00000234,U000392,C00034,buy,2026-09-01 14:59:48,305
B00000235,U000785,C00021,start_learning,2026-08-12 06:36:48,1372
B00000236,U000015,C00062,start_learning,2026-08-07 20:02:48,286
B00000237,U000800,C00055,favorite,2026-08-24 07:54:48,1791
B00000238,U000016,C00082,start_learning,2026-08-19 03:05:48,216
B00000239,U000845,C00078,buy,2026-08-10 00:39:48,906
B00000240,U000247,C00071,favorite,2026-08-12 06:35:48,2063
B00000241,U000329,C00021,start_learning,2026-08-04 11:30:48,425
B00000242,U000209,C00064,view,2026-08-15 15:08:48,2176
B00000243,U000744,C00078,start_learning,2026-08-27 15:17:48,2602
B00000244,U000806,C00062,buy,2026-08-31 16:13:48,282
B00000245,U000742,C00010,favorite,2026-08-18 17:50:48,2073
B00000246,U000329,C00020,finish,2026-08-15 01:54:48,1403
B00000247,U000932,C00036,buy,2026-08-05 12:30:48,578
B00000248,U000339,C00080,view,2026-08-03 21:29:48,1686
B00000249,U000123,C00015,favorite,2026-08-26 14:28:48,1492
B00000250,U000004,C00066,start_learning,2026-08-04 00:10:48,1932
B00000251,U000567,C00095,buy,2026-08-16 00:36:48,396
B00000252,U000981,C00075,view,2026-08-19 20:31:48,895
B00000253,U000994,C00058,buy,2026-08-31 18:00:48,943
B00000254,U000734,C00062,view,2026-08-19 01:50:48,1020
B00000255,U000575,C00006,start_learning,2026-08-25 16:05:48,1232
B00000256,U000015,C00036,favorite,2026-08-23 14:55:48,224
B00000257,U000241,C00064,finish,2026-08-30 05:30:48,3140
B00000258,U000477,C00039,view,2026-08-12 14:25:48,1571
B00000259,U000744,C00065,favorite,2026-08-15 04:20:48,2946
B00000260,U000720,C00009,finish,2026-08-13 18:07:48,215
B00000261,U000446,C00020,favorite,2026-08-11 19:32:48,2456
B00000262,U000553,C00042,favorite,2026-08-28 10:21:48,2085
B00000263,U000476,C00064,view,2026-08-07 05:06:48,1429
B00000264,U000286,C00027,start_learning,2026-08-25 12:15:48,3470
B00000265,U000163,C00033,favorite,2026-08-27 18:11:48,1912
B00000266,U000924,C00052,view,2026-08-07 05:07:48,1271
B00000267,U000522,C00015,favorite,2026-08-30 19:38:48,2003
B00000268,U000782,C00074,start_learning,2026-08-06 07:53:48,1758
B00000269,U000623,C00064,favorite,2026-08-15 14:43:48,807
B00000270,U000657,C00040,favorite,2026-08-16 21:49:48,2770
B00000271,U000433,C00036,buy,2026-08-29 18:27:48,3024
B00000272,U000264,C00086,start_learning,2026-08-29 23:34:48,198
B00000273,U000942,C00074,finish,2026-08-24 16:30:48,60
B00000274,U000470,C00004,favorite,2026-08-19 14:22:48,3578
B00000275,U000604,C00039,finish,2026-08-10 08:49:48,3316
B00000276,U000415,C00074,view,2026-08-17 07:12:48,3030
B00000277,U000150,C00017,start_learning,2026-08-29 02:51:48,1879
B00000278,U000698,C00045,finish,2026-08-06 08:14:48,576
B00000279,U000682,C00032,start_learning,2026-08-03 01:38:48,3198
B00000280,U000601,C00036,buy,2026-08-18 13:11:48,708
B00000281,U000983,C00096,favorite,2026-08-19 20:46:48,2913
B00000282,U000945,C00069,finish,2026-08-06 17:03:48,1292
B00000283,U000393,C00024,start_learning,2026-08-24 18:22:48,666
B00000284,U000893,C00099,favorite,2026-08-26 09:22:48,1905
B00000285,U000875,C00053,buy,2026-08-29 22:16:48,2528
B00000286,U000918,C00057,buy,2026-08-16 08:21:48,1165
B00000287,U000113,C00027,finish,2026-08-31 12:17:48,2466
B00000288,U000012,C00013,start_learning,2026-08-15 04:24:48,2855
B00000289,U000222,C00088,finish,2026-08-23 21:33:48,941
B00000290,U000466,C00052,view,2026-08-03 12:17:48,3031
B00000291,U000031,C00037,favorite,2026-08-19 12:40:48,198
B00000292,U000475,C00065,finish,2026-08-03 05:05:48,1841
B00000293,U000772,C00082,start_learning,2026-08-22 05:42:48,3016
B00000294,U000416,C00053,start_learning,2026-08-31 05:32:48,62
B00000295,U000235,C00011,buy,2026-08-02 21:29:48,564
B00000296,U000542,C00086,finish,2026-08-24 18:15:48,1664
B00000297,U000431,C00031,view,2026-08-28 07:56:48,3020
B00000298,U000711,C00029,start_learning,2026-08-13 23:07:48,577
B00000299,U000485,C00043,start_learning,2026-08-30 16:13:48,2141
B00000300,U000730,C00043,view,2026-08-18 00:30:48,3169
B00000301,U000848,C00012,view,2026-08-12 06:59:48,1151
B00000302,U000521,C00035,buy,2026-08-02 15:57:48,1695
B00000303,U000869,C00040,view,2026-08-19 08:12:48,2634
B00000304,U000892,C00001,buy,2026-08-15 23:38:48,1952
B00000305,U000385,C00060,buy,2026-08-12 23:30:48,619
B00000306,U000673,C00055,favorite,2026-08-11 22:21:48,284
B00000307,U000213,C00043,view,2026-09-01 08:20:48,2002
B00000308,U000542,C00048,favorite,2026-08-14 14:49:48,924
B00000309,U000096,C00006,start_learning,2026-08-18 14:43:48,1711
B00000310,U000866,C00068,buy,2026-08-13 04:48:48,752
B00000311,U000548,C00080,favorite,2026-08-14 00:38:48,3502
B00000312,U000324,C00099,buy,2026-08-03 08:45:48,2419
B00000313,U000572,C00002,view,2026-08-31 01:24:48,1942
B00000314,U000931,C00016,favorite,2026-08-27 21:16:48,3206
B00000315,U000891,C00009,favorite,2026-08-25 06:33:48,1037
B00000316,U000094,C00070,buy,2026-08-08 13:18:48,1704
B00000317,U000643,C00016,finish,2026-08-24 22:13:48,663
B00000318,U000818,C00051,buy,2026-08-22 16:41:48,474
B00000319,U000854,C00013,buy,2026-08-06 18:18:48,2503
B00000320,U000664,C00059,favorite,2026-08-08 14:36:48,2480
B00000321,U000057,C00060,finish,2026-08-30 18:09:48,2455
B00000322,U000025,C00007,finish,2026-08-12 12:58:48,931
B00000323,U000345,C00055,buy,2026-08-15 09:07:48,59
B00000324,U000443,C00078,buy,2026-08-24 10:50:48,687
B00000325,U000913,C00040,finish,2026-08-18 01:59:48,3104
B00000326,U000076,C00079,view,2026-08-13 14:16:48,2117
B00000327,U000206,C00051,finish,2026-08-10 06:43:48,1302
B00000328,U000479,C00089,start_learning,2026-08-14 05:09:48,2386
B00000329,U000407,C00024,buy,2026-08-22 17:36:48,1206
B00000330,U000627,C00075,start_learning,2026-08-04 13:47:48,825
B00000331,U000410,C00082,buy,2026-08-05 08:22:48,2848
B00000332,U000467,C00098,favorite,2026-08-07 15:30:48,3415
B00000333,U000410,C00021,favorite,2026-08-03 11:27:48,3442
B00000334,U000263,C00049,finish,2026-08-06 04:32:48,3477
B00000335,U000447,C00012,favorite,2026-08-24 08:25:48,724
B00000336,U000419,C00001,view,2026-08-11 20:09:48,235
B00000337,U000609,C00062,finish,2026-08-05 12:09:48,921
B00000338,U000888,C00075,start_learning,2026-08-11 20:37:48,515
B00000339,U000516,C00093,start_learning,2026-08-23 20:01:48,2595
B00000340,U000159,C00030,view,2026-08-28 07:13:48,2738
B00000341,U000805,C00078,favorite,2026-08-17 06:10:48,2375
B00000342,U000015,C00082,finish,2026-08-20 10:25:48,2149
B00000343,U000147,C00023,view,2026-08-11 05:25:48,2389
B00000344,U000938,C00041,view,2026-08-23 15:43:48,648
B00000345,U000574,C00090,finish,2026-08-03 05:35:48,2745
B00000346,U000983,C00029,finish,2026-08-27 06:42:48,1504
B00000347,U000334,C00084,view,2026-08-10 11:04:48,3269
B00000348,U000243,C00057,start_learning,2026-08-06 17:59:48,816
B00000349,U000201,C00070,view,2026-08-05 14:08:48,965
B00000350,U000286,C00022,buy,2026-08-31 14:04:48,1800
B00000351,U000186,C00074,favorite,2026-08-31 08:55:48,639
B00000352,U000123,C00053,view,2026-08-05 05:00:48,3081
B00000353,U000717,C00008,buy,2026-08-21 22:41:48,2754
B00000354,U000824,C00082,view,2026-08-31 02:15:48,1684
B00000355,U000391,C00022,view,2026-08-13 07:16:48,2927
B00000356,U000894,C00056,start_learning,2026-08-21 09:34:48,1203
B00000357,U000454,C00001,start_learning,2026-08-03 07:56:48,1987
B00000358,U000514,C00033,buy,2026-08-29 16:53:48,2277
B00000359,U000947,C00011,favorite,2026-08-10 13:33:48,2241
B00000360,U000843,C00027,buy,2026-08-22 15:44:48,2355
B00000361,U000480,C00052,finish,2026-08-07 10:31:48,1643
B00000362,U000613,C00064,finish,2026-08-10 13:37:48,2275
B00000363,U000685,C00064,finish,2026-08-09 07:07:48,2238
B00000364,U000420,C00018,start_learning,2026-08-09 02:19:48,3130
B00000365,U000697,C00039,finish,2026-08-24 18:25:48,968
B00000366,U000563,C00049,finish,2026-08-12 18:59:48,3305
B00000367,U000323,C00092,view,2026-08-06 15:27:48,1159
B00000368,U000670,C00086,favorite,2026-08-20 01:55:48,3600
B00000369,U000759,C00008,finish,2026-08-18 13:19:48,1036
B00000370,U000045,C00083,finish,2026-08-23 05:48:48,2841
B00000371,U000842,C00016,view,2026-08-10 23:47:48,1832
B00000372,U000383,C00055,start_learning,2026-08-27 15:09:48,1976
B00000373,U000983,C00072,finish,2026-08-26 23:02:48,315
B00000374,U000787,C00097,buy,2026-08-21 01:09:48,2543
B00000375,U000153,C00002,favorite,2026-08-30 08:12:48,1694
B00000376,U000403,C00025,buy,2026-08-30 10:21:48,1706
B00000377,U000178,C00075,start_learning,2026-08-23 14:07:48,110
B00000378,U000690,C00020,favorite,2026-08-19 12:07:48,49
B00000379,U000604,C00061,start_learning,2026-08-31 22:54:48,452
B00000380,U000888,C00025,favorite,2026-08-11 13:18:48,698
B00000381,U000249,C00050,view,2026-08-08 06:49:48,1223
B00000382,U000901,C00013,buy,2026-08-29 23:35:48,1802
B00000383,U000224,C00060,view,2026-08-18 22:55:48,2199
B00000384,U000785,C00040,favorite,2026-08-09 07:57:48,2622
B00000385,U000199,C00021,buy,2026-08-13 23:28:48,2854
B00000386,U000531,C00027,buy,2026-08-05 20:25:48,3503
B00000387,U000970,C00093,finish,2026-08-04 15:43:48,2541
B00000388,U000579,C00082,buy,2026-08-30 08:15:48,804
B00000389,U000291,C00032,favorite,2026-08-14 19:28:48,2001
B00000390,U000776,C00061,buy,2026-08-23 06:00:48,3073
B00000391,U000760,C00024,view,2026-08-18 00:16:48,220
B00000392,U000514,C00041,finish,2026-08-23 14:24:48,1159
B00000393,U000563,C00052,view,2026-08-12 00:13:48,1912
B00000394,U000331,C00040,favorite,2026-08-07 07:13:48,1057
B00000395,U000869,C00086,favorite,2026-08-03 18:21:48,929
B00000396,U000522,C00022,view,2026-08-30 14:13:48,2648
B00000397,U000343,C00029,finish,2026-08-12 20:10:48,754
B00000398,U000802,C00040,finish,2026-08-27 02:28:48,1017
B00000399,U000833,C00096,buy,2026-08-04 08:22:48,1805
B00000400,U000055,C00041,view,2026-08-23 02:49:48,1959
B00000401,U000259,C00042,buy,2026-08-04 19:08:48,2400
B00000402,U000045,C00017,buy,2026-08-11 21:39:48,1365
B00000403,U000561,C00093,start_learning,2026-08-02 21:54:48,366
B00000404,U000583,C00018,start_learning,2026-08-05 00:05:48,1839
B00000405,U000489,C00039,start_learning,2026-08-09 05:19:48,1678
B00000406,U000324,C00022,buy,2026-08-12 07:42:48,2980
B00000407,U000565,C00077,favorite,2026-08-06 15:40:48,2005
B00000408,U000599,C00034,start_learning,2026-08-27 10:41:48,1142
B00000409,U000834,C00058,finish,2026-08-05 06:14:48,1642
B00000410,U000764,C00063,favorite,2026-08-21 22:47:48,53
B00000411,U000639,C00089,finish,2026-08-07 12:28:48,9
B00000412,U000915,C00073,favorite,2026-08-20 04:02:48,3503
B00000413,U000470,C00013,buy,2026-08-27 06:46:48,2308
B00000414,U000204,C00026,buy,2026-08-07 00:06:48,1529
B00000415,U000631,C00017,buy,2026-08-04 12:40:48,3456
B00000416,U000841,C00036,start_learning,2026-08-15 08:22:48,58
B00000417,U000704,C00041,start_learning,2026-08-20 19:18:48,1770
B00000418,U000787,C00054,favorite,2026-08-19 19:50:48,1317
B00000419,U000430,C00082,start_learning,2026-08-10 00:14:48,2629
B00000420,U000441,C00009,favorite,2026-08-27 13:32:48,2314
B00000421,U000697,C00050,view,2026-08-15 10:48:48,1767
B00000422,U000079,C00044,favorite,2026-08-18 17:02:48,2776
B00000423,U000039,C00024,start_learning,2026-08-22 22:07:48,537
B00000424,U000687,C00056,favorite,2026-08-23 17:48:48,836
B00000425,U000765,C00027,buy,2026-08-07 09:51:48,2
B00000426,U000181,C00014,start_learning,2026-08-17 18:09:48,1822
B00000427,U000724,C00085,view,2026-08-07 15:11:48,2039
B00000428,U000757,C00099,buy,2026-08-09 15:22:48,1466
B00000429,U000048,C00005,finish,2026-08-10 12:11:48,2750
B00000430,U000049,C00082,favorite,2026-08-14 02:13:48,338
B00000431,U000082,C00074,favorite,2026-08-25 00:10:48,364
B00000432,U000183,C00007,finish,2026-08-21 12:15:48,697
B00000433,U000724,C00068,favorite,2026-08-16 16:51:48,3521
